,mode,n,avg_turnaround,avg_response,avg_wait,avg_run,avg_sleep,avg_sched,total_turnaround,total_response,total_wait,total_run,total_sleep,total_sched
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,3.0,5.0,50.53200000000001,0.4099999999999999,72.524,1.898,0.0,51.891999999999996,252.66,2.05,362.62,9.49,0.0,259.46
std,0.0,0.0,0.21123972690339818,0.31829723736333515,5.570904211828967,0.1693600551571364,0.0,0.5448899434794612,1.0561986345169905,1.5914861868166759,27.854521059144837,0.8468002757856818,0.0,2.724449717397306
min,3.0,5.0,49.8,0.0,61.4,1.4,0.0,50.8,249.0,0.0,307.0,7.0,0.0,254.0
25%,3.0,5.0,50.4,0.0,68.15,1.8,0.0,51.6,252.0,0.0,340.75,9.0,0.0,258.0
50%,3.0,5.0,50.6,0.6,72.5,2.0,0.0,51.8,253.0,3.0,362.5,10.0,0.0,259.0
75%,3.0,5.0,50.6,0.6,76.3,2.0,0.0,52.2,253.0,3.0,381.5,10.0,0.0,261.0
max,3.0,5.0,51.0,0.8,86.4,2.2,0.0,53.8,255.0,4.0,432.0,11.0,0.0,269.0
