,mode,n,avg_turnaround,avg_response,avg_wait,avg_run,avg_sleep,avg_sched,total_turnaround,total_response,total_wait,total_run,total_sleep,total_sched
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,3.0,5.0,50.461999999999996,0.38,63.254000000000005,1.8320000000000005,66.922,51.832,252.31,1.9,316.27,9.16,334.61,259.16
std,0.0,0.0,0.2063536241063342,0.3369500757313367,5.787960684808501,0.16507115086678487,5.988264280316049,0.5619015334854797,1.03176812053167,1.6847503786566838,28.939803424042502,0.8253557543339242,29.941321401580247,2.8095076674273973
min,3.0,5.0,49.8,0.0,49.6,1.4,48.0,50.8,249.0,0.0,248.0,7.0,240.0,254.0
25%,3.0,5.0,50.4,0.0,60.050000000000004,1.8,64.0,51.4,252.0,0.0,300.25,9.0,320.0,257.0
50%,3.0,5.0,50.4,0.4,62.9,1.8,67.4,51.8,252.0,2.0,314.5,9.0,337.0,259.0
75%,3.0,5.0,50.6,0.8,67.0,2.0,70.4,52.0,253.0,4.0,335.0,10.0,352.0,260.0
max,3.0,5.0,50.8,0.8,81.8,2.2,80.8,54.2,254.0,4.0,409.0,11.0,404.0,271.0
